species_name,latitude,longitude,location_description,depth_range,,,,
Bassozetus zenkevitchi,56°N; 56°01'N; 49°N;,169°05'W; 168°55'W;127°18'W,"Honshu, Japan, southeastern Kamchatka, southeastern Bering Sea, Vancouver Island","200 to perhaps 2,620 m",,,,
Brotula clarkae,NA,NA,"Palos Verdes, southern California to Paita, Peru, including Gulf of California",1-645 m,,,,
Brotula ordwayi,23°24.6'N,110°13.8'W,"Todos Santos, southern Baja California, southeast Gulf of California to Peru, Islas Galápagos, Islas Revillagigedo",0-91 m,,,,
Brotulataenia nielseni,32°02'N,117°48'W,northern Baja California to south of equator,"surface between 300 m to 1,200 m",,,,
Cherublemma emmelas,49°40'N; 27°09'N,127°46'W; NA,"west of Vancouver Island, British Columbia, southern Baja California, Gulf of California to northern Chile","70-1,401 m",,,,
Chilara taylori,49°23'N; 23°25'N,123°24'W; 110°14'W,"Bowen Island, British Columbia, southern Baja California, into Gulf of California, off Ecuador","surface, intertidal to 1,128 m",,,,
Dicrolene filamentosa,45°54'N,124°55'W,"Oregon to southern Mexico to Huacho, Peru","137-1,867 m",,,,
Holcomycteronus digittatus,24°24.3'N,113°16'W,southern Baja California to Colombia,"1,570-4,080 m",,,,
Holcomycteronus profundissimus,NA,NA,"Oregon, circumglobal","5,180-7,160 m",,,,
Lamprogrammus niger,47°12'N,NA,"Washington to northern Peru, Isla Guadalupe, central Baja California","165-2,670 m",,,,
Lepophidium microlepis,NA,NA,"Islas de Cedros, central Baja California to Gulf of California",16-350 m,,,,
Lepophidium negropinna,28°34.5'N,114°24'W,"Bahía de Sebastian Vizcaino, central Baja California to Gulf of California to Islas Lobos de Afuera, Peru",10-390 m,,,,
Lepophidium pardale,NA,NA,"just north of Punta Abreojos, southern Baja California and southward along the outer Baja California coast, Gulf of California to Isla Lobos de Tierra, Peru",6-250 m,,,,
Lepophidium prorates,NA,NA,"Isla de Cedros, central Baja California, Gulf of California to Paita, Peru",3-367 m,,,,
Lepophidium stigmatistium,25°35.8'N,112°18.5'W,"Isla de Cedros, central Baja California, southern Baja California coast, Gulf of California",20-238 m,,,,
Neobythites stelliferoides,23°58.9'N,111°01.8'W,"off Punta Marquez, southern Baja California, Gulf of California to northern Peru",90-833 m,,,,
Ophidion galeoides,NA,NA,"Bahía de Sebastian Vizcaino, central Baja California to northern Peru, including Gulf of California",less than 1 m to 75 m,,,,
Ophidion imitator,NA,NA,"off Cabo San Lucas, southern Baja California and Mazatlán to Gulf of Panama",18-402 m,,,,
Ophidion iris,23°24.6'N,110°13.8'W,"Todos Santos, southern Baja California, Gulf of California to about Puerto Vallarta",2-86 m,,,,
Ophidion scrippsae,NA,NA,"Point Arguello, central California to Bahía Magdalena, southern Baja California","2-1,098 m",,,,
Otophidium indefatigabile,24°05.7'N,111°05.7'W,"Punta Marquez, southern Baja California, Gulf of California to Ecuador, Islas Galápagos","5-1,401 m",,,,
Petrotyx hopkinsi,NA,NA,"southern tip of Baja California, Gulf of California to Peru, Islas Galápagos and some other offshore islands",3 to at least 18 m,,,,
Porogadus promelas,51°26'N,130°41'W,"Queen Charlotte Sound, British Columbia, Gulf of California","1,838-1,967 m",,,,
Spectrunculus crassus,48°16'N,127°W,170 km west of Juan de Fuca Strait to Peru,"1,772-3,677 m",,,,
Spectrunculus grandis,NA,NA,"Circumglobal, western Pacific Ocean, northern Gulf of Alaska to central California, northern Chile, including Gulf of California","about 800-4,332 m, and photographs just above the bottom as deep as 6,273 m",,,,
Barathronus pacificus,NA,NA,"North and southeast Atlantic, southwest and northeast Pacific Ocean, between Australia and New Zealand, Oregon to northern California","3,334-3,860 m",,,,
Brosmophycis marginata,NA,NA,"Petersburg, southeastern Alaska to Ensenada, northern Baja California",3-256 m,,,,
Cataetyx rubrirostris,51°25'N; 28°48'N,130°46'W; NA,"Queen Charlotte Sound, British Columbia to central Baja California, Gulf of California, Punta Coles, Peru to central Chile","212-3,824 m",,,,
Cataetyx simus,NA,NA,"San Nicolas Island, southern California to Chile","690-2,690 m",,,,
Grammonus diagrammus,NA,NA,"San Clemente Island, Santa Catalina Island to Ecuador, including Gulf of California, Islas Galápagos, Islas Revillagigedo",3-81 m,,,,
Sciadonus pedicellaris,NA,NA,Oregon to Chile,"1,169-5,440 m",,,,
Ogilbia nigromarginata,NA,NA,tip of Baja California and Gulf of California,0-33 m,,,,
Thalassobathia pelagica,NA,NA,"North Atlantic Ocean and Gulf of Guinea;one possible record from Commander Basin, western Bering Sea","about 500–1,000 m",,,,
Ogilbia nigromarginata,NA,NA,Tip of Baja California and Gulf of California,0–33 m,,,,
Ogilbia nudiceps,NA,NA,Tip of Baja California and Gulf of California,0–30 m,,,,
Ogilbia ventralis,NA,NA,"Bahía Magdalena, southern Baja California to Panama, including Gulf of California and Islas Galápagos",intertidal to 10 m,,,,
Porichthys analis,NA,NA,"Bahía Magdalena, southern Baja California to Bahía de Tenacatita, southern Mexico and Peru, including Gulf of California",intertidal to 224 m,,,,
Porichthys ephippiatus,NA,NA,"Cabo San Lucas, southern Baja California, slightly into Gulf of California, and Pacific coast of Mexico to Guatemala",15–242 m,,,,
Porichthys margaritatus,NA,NA,"Bahía de Sebastian Vizcaino to Bahía de Sechura, Peru, including Gulf of California and Islas Galápagos",1–210 m,,,,
Porichthys mimeticus,NA,NA,"Todos Santos, southern Baja California to Gulf of California to about Puerto Vallarta",82–298 m,,,,
Porichthys myriaster,NA,NA,"Near Point Arguello, California to at least Bahía Magdalena, southern Baja California; also reported in northern Peru",intertidal to 126 m,,,,
Porichthys notatus,24°12'N,111°21'W,"Smith Sound, southern British Columbia to southern Baja California",intertidal to 464 m,,,,
Lophiodes caulinaris,37°N,122°W,"Central California, to Callao, Peru, including Gulf of California and various offshore islands",15–888 m,,,,
Lophiodes spilurus,NA,NA,"Off Monterey Bay, central California to northern Peru, including Gulf of California","surface (nightlight), 55–850 m",,,,
Lophiomus setigerus,NA,NA,"Indo-Pacific; western Pacific Ocean north to Japan; Bahía Magdalena, southern Baja California",7–500 m,,,,
Abantennarius sanguineus,NA,NA,"Todos Santos, southern Baja California, lower Gulf of California and southern tip of Baja California to Chile, and various offshore islands, including Islas Galápagos",intertidal to 40 m,,,,
Antennatus strigatus,NA,NA,"Lower Gulf of California and southern tip of Baja California to Ecuador, including Islas Galápagos",intertidal to 50 m,,,,
Fowlerichthys avalonis,NA,NA,"Santa Monica Bay, southern California and Santa Catalina Island, southern California to Iquique, Chile, including Gulf of California, Islas Galápagos, and Isla del Cocos",intertidal to 311 m,,,,
Chaunacops coloratus,NA,NA,"Indo-Pacific; Taney Seamount chain and Davidson Seamount, well off central California and Cocos Ridge, South America","1,250–3,297 m",,,,
Dibranchus spinosus,23°22.8'N,NA,Southern Baja California; central Gulf of California to southern Peru,"at least 528–2,286 m",,,,
Dibranchus spongiosa,26°37.2'N,NA,"Southern Baja California to Gulf of Tehuantepec and Islas Revillagigedo, Mexico",479–1.244 m,,,,
Zalieutes elater,NA,NA,"Southern Oregon; Point Conception, California to Paita, Peru, including Gulf of California, Isla del Cocos, and Isla Malpelo",about 10–251 m,,,,
Caulophryne jordani,40°36'N-32°42'N; 17°35.5'N,124°50'W-118°14'W; 101°56.8'W,"Circumglobal; northern California to southern California, Guerrero, Mexico","275–3,000 m",,,,
Caulophryne pelagica,NA,NA,"Circumglobal; western Pacific Ocean north to Japan and Russian north-western Pacific; Gulf of Alaska, Isla Guadalupe, central Baja California, Panama, and Ecuador","500–3,500 m",,,,
Caulophryne polynema,NA,NA,Circumglobal; southern California as far north as 33°10'N,"to at least 1,000 m and probably deeper",,,,
Melanocetus johnsonii,48°41'N; 31°14'S,126°30'W,Circumglobal; western Pacific Ocean north to Japan and Russian North Pacific; as far north as off British Columbia and south to northern Chile,"about 100–3,603 m",,,,
Himantolophus nigricornis,NA,NA,"Indo-Pacific; Monterey Bay, central California; San Clemente Basin, southern California","at least 219–2,500 m",,,,
Himantolophus sagamius,NA,NA,Indo-Pacific; western Pacific Ocean north to Japan; off Kamchatka; northern California to Chile,"300–1,300 m",,,,
Bertella idiomorpha,NA,NA,"Northern Japan and southern Kuril Islands to Bering Sea and western Gulf of Alaska, to Gulf of California","410–1,160 m",,,,
Chaenophryne draco,47°09'N,125°04'W,"Circumglobal; western Pacific Ocean north to Japan and Russian Bering Sea; Washington to northern Peru, midocean west of Peru, and near Islas Galápagos; Hawaiian Islands","about 350 m to 3,000 m",,,,
Chaenophryne longiceps,49°03'N; 23°29'S,127°00'W; 72°20'W,"Circumglobal; western Pacific Ocean north to northern Japan; north of Clayoquot Canyon, British Columbia to Chile","84-1,800 m",,,,
Chaenophryne melanorhabdus,49°41'N,127°43'W,"Indo-Pacific; west of Nootka Sound, British Columbia to Peru","about 200 m to 2,000 m",,,,
Dolopichthys longicornis,NA,NA,Circumglobal; northern California,"as deep as 6,420 m",,,,
Dolopichthys pullatus,between 34°N and 34°S,west to about 180°W,"Circumglobal; southern California to Chile, including Gulf of California","about 800–2,080 m",,,,
Leptacanthichthys gracilispinis,NA,NA,"Atlantic and Pacific Oceans; isolated catches from Japan, central Pacific, northern California, Gulf of Panama, and Equator","mostly below 1,000 m",,,,
Microlophichthys microlophus,32°00'N,136°12'W,Circumglobal; well off southern California,"taken as deep as 4,000 m",,,,
Oneirodes acanthias,50°13'N; 26°51'N,129°46'W,West of north end of Vancouver Island to southern Baja California,"concentrated at 500–1,250 m",,,,
Oneirodes basili,33°06'N,118°22'W,"Southern California to Isla Guadalupe, central Baja California","maximum depths of 700–1,400 m",,,,
Oneirodes bulbosus,NA,NA,"Western Pacific Ocean in Sea of Okhotsk off Hokkaido, Japan to northern Bering Sea, Aleutian Islands, and Gulf of Alaska; one record in mid-ocean west of Oregon","200–2,000 m",,,,
Oneirodes eschrichtii,49°29'N; 48°12'N; 34°S,158°41'E; 125°59'W,Circumglobal; western Pacific Ocean in Kuril–Kamchatka Trench; near U.S.—Canada border to Chile,"maximum depths of 150–6,200 m",,,,
Oneirodes thompsoni,41°20'N; 32°00'N,144°10'W; 118°20'W,"Honshu, Japan to northern California, and perhaps to southern California","about 100–2,250 m, with most collected at 600–1,250 m",,,,
Phyllorhinichthys micractis,NA,NA,"Circumglobal; western Pacific Ocean off Japan; Emperor Seamounts, and Line Islands; off Isla Guadalupe, central Baja California","1,800 m–3,600 m",,,,
Thaumatichthys axeli,9°23'N,87°32'W,"Two known specimens: one from Patton escarpment, well off southern California; the other from 9°23'N, 87°32'W'","3,578–3,671 m",,,,
Centrophryne spinulosa,NA,NA,"Circumglobal; off Punta Abreojos, southern Baja California to Gulf of Panama","about 590–2,325 m",,,,
Ceratias holboelli,NA,NA,"Circumglobal; western Pacific Ocean north to Japan; Bering Sea, Gulf of Alaska, and off British Columbia and central California; Hawai'i","120–3,400 m",,,,
Cryptopsaras couesii,range of 63°N to 43°S; 49°29'N,127°17'W,Circumglobal; Greenland; western Pacific Ocean north to Japan; New Zealand; Hawai'i; British Columbia to Peru,"75–4,000 m, but mostly taken at 500–1,250 m",,,,
Gigantactis gargantua,NA,NA,"Indo-Pacific; western Pacific Ocean north to northern Honshu, Japan; Hawai'i; and southern California, also offshore of Morro Bay, central California; one probable record off northern Oregon","maximum depths of 500–1,535 m",,,,
Gigantactis macronema,NA,NA,"Eastern North Pacific and Atlantic Oceans; Hawai'i; northern California, southern California, and Baja California","maximum depths of 650–2,500 m",,,,
Gigantactis microdontis,43°31'N,124°54'W,"Western Pacific; Oregon to southern California; Isla Guadalupe, central Baja California; Peru","above 1,200 m",,,,
Gigantactis savagei,NA,NA,"Hawai'i; southern California and Isla Guadalupe, central Baja California","above 700 m, and at maximum depths of 5,396 m",,,,
Gigantactis vanhoeffeni,58°09'N,175°36'W,Circumglobal; western Pacific Ocean north to Japan; Bering Sea to Chile,"at maximum depths of 300–5,300 m",,,,
Borophryne apogon,26°31'N; 4°25'S,114°34'W; 81°51'W,Southern Baja California to south of equator,"as shallow as 54 m and deep tows include 1,900 m and 2,086 m",,,,
Linophryne coronata,34°33'N; 32°39'N; 27°10'N,121°06'W; 117°33'W; 138°11'W,"Atlantic and Pacific Oceans; three individuals within our range, from southern California, northern Baja California, and off central Baja California","to at least 1,180 m",,,,
Linophryne racemifera,NA,NA,Atlantic and Pacific Oceans; southern California,"210–1,500 m",,,,
Chaenomugil proboscideus,NA,NA,"Bahía Magdalena, southern Baja California to Panama, including lower Gulf of California","surface (nightlight), intertidal to 46 m",,,,
Dojaus monticola,NA,NA,"Southern tip of Baja California to northern Peru, including Gulf of California, and Islas Galápagos",intertidal and surface,,,,
Mugil cephalus,NA,NA,"Circumglobal; western Pacific Ocean north to Japan, Sea of Okhotsk, and southern Kuril Islands; Humboldt Bay, northern California to Chile and Islas Galápagos",intertidal to 122 m,,,,
Mugil hospes,26°14'N,112°27'W,"Atlantic and Pacific sides of Americas; just inside Punta Pequena, southern Baja California, and Gulf of California to Ecuador",0 to 10 m,,,,
Mugil setosus,NA,NA,"Mission Creek, Santa Barbara County, southern California to Chile, including Gulf of California, and Islas Galápagos","surface (nightlight),intertidal to 25 m",,,,
Atherinella eriarcha,NA,NA,"Bahía San Hipólito, southern Baja California to Colombia, including lower Gulf of California","surface,intertidal to 15 m",,,,
Atherinella nepenthe,NA,NA,"Punta Abreojos, southern Baja California to Peru, including southeast corner of Baja California","surf, upper water column near shore to 10 m",,,,
Atherinops affinis,NA,NA,"Near Sooke Harbour, Vancouver Island, British Columbia to Gulf of California","surface, intertidal to 26 m",,,,
Atherinopsis californiensis,NA,NA,"Yaquina Bay, Oregon to at least Bahía Magdalena, southern Baja California, and in western and northeastern Gulf of California",surface and intertidal to at least 29 m,,,,
Leuresthes tenuis,NA,NA,"Tomales Bay, northern California to Bahía Magdalena, southern Baja California",intertidal to 18 m,,,,
Menidia audens,NA,NA,Native to the greater Mississippi Valley; found in San Francisco Bay and in various freshwater systems in California,NA,,,,
Cheilopogon dorsomacula,24°20'N,113°14.0'W,Pacific Ocean; southern Baja California to Peru,epipelagic,,,,
Cheilopogon furcatus,28°00'N,117°25'W,Circumglobal; western Pacific Ocean north to Japan; central Baja California to well off Peru,epipelagic,,,,
Cheilopogon heterurus,NA,NA,"Circumglobal; including various subspecies: western Pacific Ocean north to Peter the Great Bay, Sea of Japan; Santa Catalina Island, southern California to Chile",surface,,,,
